질문,답변
경구피임약 사용후 생리 늦춰짐,안녕하세요. 메디이즈입니다. 지금 당장 진료가 필요한 것은 아니지만 생리가 계속 미뤄지면 임신가능성을 생각해서 임태기나 산부인과 진료가 필요합니다
임신가능성,안녕하세요. 메디이즈입니다. 쿠퍼액만으로 임신은 어렵다고는 하지만 전혀 가능성이 없는 것은 아니라고 합니다. 피임은 항상 확실하게 하시는 것이 필요합니다.
관계 일주일 후 임신 증상인가요,안녕하세요. 메디이즈입니다. 얼리임태기를 사용하면 관계후 810일 지나면 결과를 알 수 있습니다. 이번 일요일이 되어도 일주밖에 안되니 알기 어렵습니다. 임신증상으로 보기는 어렵습니다
침 안삼키면,안녕하세요. 메디이즈입니다. 이전에 페리스겔을 사용해보신적이 있으시다고 하면 큰 문제는 없을 것 같습니다 이번이 처음이라면 페리스겔에 민감하신 분일 수 있습니다.
네오덱스 안연고 부작용 없나요?,안녕하세요. 메디이즈입니다. 기간을 정할 수는 없지만 필요한 단기간 사용을 권합니다 찾아보니 이런 부작용이 있다고 합니다. 일상적인 상황에서는 부작용은 드문편입니다  전신 투여  자주 일어나는 부작용 위장관계  식욕증가 소화불량 중추신경계  불면 초조 가끔 일어나는 부작용 내분비계 및 대사  당뇨병 다모증hirsutism 관절통 비출혈 눈  백내장 드물게 일어나는 부작용 근신경 및 골격계  근육 소모muscle wasting 내분비계 및 대사  무월경증 나트륨과 물의 저류 Cushing 증후군 고혈당증 골bone 성장 지체 위장관계  복부 팽만감 궤양성 식도염 췌장염 소화성 궤양 중추신경계  경련 정신병 mood swings 두통 섬망delirium 환각hallucinations 도취감euphoria 피부  피부위축 타박상 색소침착hyperpigmentation 여드름 기타  과민반응   국소 적용  드물게 일어나는 부작용 국소  작열감burning 소양증 자극감 건조감 소포염folliculitis 다모증hypertricosis 여드름 형태의 발진acneiform eruptions 색소감소증hypopigmentation 입주위의 피부염 알러지성 접촉성 피부염 피부 연화maceration 이차 감염 피부 위축 striae 땀띠miliaria
빨리 내시경검사를 해봐야할까요?,안녕하세요. 메디이즈입니다. 내시경검사를 하셔서 출혈이 있는지 있으면 위치와 원인을 찾는 것이 필요해 보입니다. 체중이 늘어나니 다행이 나쁜병이 있는 것은아닌것 같습니다
안검하수뇌신경빠른답변바랍니다.,안녕하세요. 메디이즈입니다. 병적인 안검하수는 가장 중요한 질환이 중증근무력증이며 그 다음으로는 다발성경화증 시신경염 뇌의 동정맥류 뇌종양등이 심각한 문제들입니다. 여러 다양한 검사들이 가능한데 신경과 진찰에 의해 검사의 종류를 정합니다. 반대측과 비교되는 신경학적 징후를 찾고 그 범위를 좁히는 검사를 하게됩니다.
약 4시간 전 물파스를 손가락에 바르고 몇 십분 뒤..,안녕하세요. 메디이즈입니다. 물파스를 왜 바르셨을까요? 물파스에 의한 자극증상일 수도 있고 아니면 손가락에 상처가 있을 수도 있습니다. 큰 문제는 아닐것 같습니다.
철분수치 감소,안녕하세요. 메디이즈입니다. 혈색소 13 이상이므로 빈혈이 아닙니다. 단순 철분 저하는 철분제 복용의 적응증이 아니므로 현재 검사 수치에 대하여 걱정할 필요는 없습니다.
아침에 장이 꼬이는것 같은 복통,안녕하세요. 메디이즈입니다.  과민성 대장증후군 등의 가능성이 높을듯합니다만 증상이 지속된다면 정확한 확인 위해 가까운 내과 진료 권유합니다
아침에 장이 꼬이는것 같은 복통,안녕하세요. 메디이즈입니다.  과민성 대장증후군 등의 가능성이 높을듯합니다만 증상이 지속된다면 정확한 확인 위해 가까운 내과 진료 권유합니다
종아리 노란멍 단순한 멍인가요? 너무 커요,안녕하세요. 메디이즈입니다. 단순 멍일 가능성이 높습니다. 여기저기 여러개 생기거나 지속되면 혈액응고에 관한 검사를 한번 고려해볼 수 있습니다
손가락 봉합후 실데나필 복용,안녕하세요. 메디이즈입니다. 실나필을 복용한다고 해서 상처 부위가 빨리 회복되지는 않습니다. 따라서 실나필을 현 상황에서 복용할 이유는 없습니다.
이불 코팅제 성분이 폐에 들어가서 남아있을 수도 있을까요?,안녕하세요. 메디이즈입니다. 이불코팅제 성분과 연관은 별로 없어 보입니다. 결과 보러 가셔서 이것에 대하여 주치의 선생님과 상의한번 해보셔요
임신준비 중 방광염약 네프신 복용,안녕하세요. 메디이즈입니다. 아직 임신이 이루어지지 않았다면 크게 문제가 되지 않습니다. 따라서 사후 피임약을 복용하는 것이 큰 도음은 되지 않습니다.
담석증 통마토 문의드립니다.,안녕하세요. 메디이즈입니다. 담석증이 있을 경우 토마토를 복용한다고 해서 담석에 영향을 미치지는 않습니다. 따라서 걱정하지 말고 섭취해도 되겠습니다.
잠드려 하면 불특정하게 움찔거려 깹니다,안녕하세요. 메디이즈입니다.  대부분의 수면장애는 깊은 수면에 들지 않는 경우가 많습니다. 카페인등 수면에 방해를 주는 음식을 주의하시고 가벼운 운동을 해보세요
곤지름인가요 ...? 도와주세요,안녕하세요. 메디이즈입니다. 곤지름이나 헤르페스와 같은 성병의 특징적인 사마귀 모양이 관찰되어 HPV 검사에서 음성이더라도 제거가 필요하겠습니다. 답변이 도움이 되었기를 바랍니다.
이것도 알레르기인가요?,안녕하세요. 메디이즈입니다. 상기 음식을 다 먹고 나서 증상이 있다면 알러지 보다는 메밀 성분 자체에 의한 반응 가능성이 높습니다. 답변이 도움이 되었기를 바랍니다.
감기몸살일까요?,안녕하세요. 메디이즈입니다.  피검사로 염증의 유무를 확인해 보시는게 좋겠습니다. 특별히 염증이 아니라면 증상완화제를 복용하면서 경과를 지켜 보시기 바랍니다.
단순히 체한걸까요?,안녕하세요. 메디이즈입니다. 지금은 복통과 설사가 있기 때문에 아마도 장염으로 고생하시는 것 같습니다. 복통이 있는 경우 간혹 혈압이 일시적으로 떨어지면서 나타나는 증상이었을 것으로 생각됩니다
아침 객혈,안녕하세요. 메디이즈입니다.  객혈이 있는 경우에는 결핵 기관지확장증 폐암을 감별해야 합니다. 심한 급성 기관지염에서도 객혈이 있을 수 있으나 원인을 감별해야 합니다
얼굴 흉터 질문,안녕하세요. 메디이즈입니다. 얼마나 오래된 상처인가에 따라 다른데 오래되지 않은것이라고하면 손대지 말고 경과를 지켜보셔도 될것 같습니다. 좋아지지 않으면 치료를 받아보셔요
20대 중반 맥압이 걱정됩니다,안녕하세요. 메디이즈입니다.  맥압의 차이는 있으나 실신과 같은 증상이 따로 없다면 일단은 경과를 지켜 보셔도 될꺼 같습니다. 정기적인 혈압을 체크해 보시기 바랍니다.
혈변 습관 및 개선 수단 문의 여쭙니다,안녕하세요. 메디이즈입니다. 진료 받은 소견대로라면 치열항문이 찢어지는 질환이 발생된 것으로 의심됩니다. 항문에 문제가 없는 사람이라도 변이 단단하고 굵게 나올 때 가끔 치열이 발생될 수 있는데 부드러운 배변을 위하여 섬유질과 수분 섭취를 많이하고 변 부드럽게 하는 약을 쓰고 하면 대부분 좋아지는데 그런 것을 급성치열이라고 합니다. 반면 괄약근 압력이 높거나 진행된 치핵치질이 있는 분들은 찢어지는 것이 반복되어 염증 반응이 진행되면서 상처가 낫지 않고 계속 심해져서 궤양 같은 것이 생기게 되는데 그런 것을 만성치열이라고 합니다. 이런 경우엔 수술적 치료가 필요하게 됩니다. 수술 얘기가 나오지 않았다면 아직 만성은 아닐 것으로 생각되며 그렇다면 위에서 말씀 드린대로 식단조절과 약물치료하면서 경과 관찰 하시기 바랍니다. 증상이 좋아지지 않으면 다시 방문해 보시기 바랍니다. 감사합니다.
손가락 봉합후 실데나필 복용,안녕하세요. 메디이즈입니다. 실나필을 복용한다고 해서 상처 부위가 빨리 회복되지는 않습니다. 따라서 실나필을 현 상황에서 복용할 이유는 없습니다.
저 성대결절 인가요???,안녕하세요. 메디이즈입니다. 증상은 성대 결절 가능성이 있지만 성대에 실제 결절 유무를 확인해야 합니다. 성대 결절이 악성화하지는 않으나 후두암이 성대 결절 처럼 보일 수 있습니다.
어느과 진찰을 받아야할지 모르겠습니다.,안녕하세요. 메디이즈입니다. 갑자기 생긴 증상이라고 하면 가정의학과 진료 받아보셔도 괜찮을 것으로 생각됩니다. 최근 많이 무리하거나 스트레스가 많았을까요? 잠은 잘 자나요? 운동은 규칙적으로 하시나요?
철분수치 감소,안녕하세요. 메디이즈입니다. 혈색소 13 이상이므로 빈혈이 아닙니다. 단순 철분 저하는 철분제 복용의 적응증이 아니므로 현재 검사 수치에 대하여 걱정할 필요는 없습니다.
아침에 장이 꼬이는것 같은 복통,안녕하세요. 메디이즈입니다.  과민성 대장증후군 등의 가능성이 높을듯합니다만 증상이 지속된다면 정확한 확인 위해 가까운 내과 진료 권유합니다
근막통에 항정신성약물을 복용해도 되나요?,안녕하세요. 메디이즈입니다. 근막통증 증후군은 신경 전달 물질에 의해 영향을 받으므로 항불안제 등을 치료로 사용하기도 합니다. 따라서 호전이 있다면 치료를 지속하기 바랍니다.
어머니 식습관,안녕하세요. 메디이즈입니다.  식습관을 가능하면 교정하신느게 좋겠습니다. 과도한 식사나 금식은 당뇨의 조절에 도움을 주지 않고 악영향을 줄 수 있습니다.
원형탈모 진행상황?,안녕하세요. 메디이즈입니다. 원형탈모 치료 중이라하더라도 조금 더 커지거나 다른 부위에도 발생할 수 있습니다. 흰머리가 올라오는 것은 흔한 증상이며 치료가 되고있는 과정입니다. 스테로이드 주사는 2주 간격 4회 이내가 좋지만 6회 정도 까지 투여하는 경우도 있습니다. 감사합니다.
얼굴 피부 색소침착 질문입니다,안녕하세요. 메디이즈입니다.  색소침착의 경우 회복하는데 2개월에서 6개월정도의 시간이 필요합니다. 일단 경과를 지켜 보시는 편이 유리하겠습니다. 감사합니다.
귀두포피염 일까요?사진첨부,안녕하세요. 메디이즈입니다.  귀두포피염의 소견으로 크게 걱정하지 마시고 피부과 진료를 받도록 하십시요.  링크된 동영상에서 추가 설명 드리겠습니다. httpswww.youtube.comwatch?v9Y8b6NwcbY
성기 기둥에 딱딱한 피지같은게 있어요,안녕하세요. 메디이즈입니다.  피지낭종 등의 가능성으로 크게 걱정하지 마시고 피부과 진료를 받도록 하십시요.  링크된 동영상에서 추가 설명 드리겠습니다. httpswww.youtube.comwatch?v9Y8b6NwcbY
새벽에 자주 깹니다,안녕하세요. 메디이즈입니다.  새벽에 자주 깨는 것은 다양한 원인으로 발생할 수 있습니다. 가장 흔한 원인은 스트레스입니다. 스트레스를 받으면 수면의 질이 떨어지고 새벽에 자주 깨게 됩니다. 또한 수면 부족이나 불규칙한 수면 습관도 새벽에 자주 깨는 원인이 될 수 있습니다.  새벽에 자주 깨는 것을 해결하기 위해서는 스트레스를 줄이고 규칙적인 수면 습관을 유지하는 것이 중요합니다. 또한 잠자리에 들기 전에는 스마트폰이나 컴퓨터 사용을 피하고 따뜻한 우유나 차를 마시는 것이 도움이 됩니다.  새벽에 깨는 증상이 심하거나 오래 지속된다면 병원에서 진료를 받아야 합니다. 병원에서는 수면 장애의 원인을 찾아 치료할 수 있습니다.
선생님들 CT 사진 한번만 봐 주시겠습니까?,안녕하세요. 메디이즈입니다. 갑작스런일로 너무 걱정이 많으실것 같습니다. 제가 보기에 크기는 별로 큰것 같지는 않습니다. 맘편히 가시셔요.
생리불순,안녕하세요. 메디이즈입니다.  생리불순은 생리주기가 28일보다 짧거나 길거나 생리량이 너무 많거나 적거나 생리통이 심하거나 생리가 2회 이상 연달아 나오는 경우를 말합니다. 생리불순은 여성의 10 정도가 겪는 흔한 증상입니다. 생리불순은 호르몬 이상 스트레스 체중 변화 약물 복용 갑상선 질환 난소 질환 등의 다양한 원인으로 발생할 수 있습니다.  생리불순은 피임약을 복용하면 증상을 완화할 수 있습니다. 피임약은 여성호르몬인 에스트로겐과 프로게스테론을 함유하고 있어 생리주기를 규칙적으로 만들어줍니다. 또한 생리통을 완화하고 생리량을 줄여주기도 합니다.  피임약은 의사의 처방을 받아야 복용할 수 있습니다. 피임약을 복용할 때는 부작용에 대해 주의해야 합니다. 피임약을 복용하면 두통 구역질 메스꺼움 유방통 체중 증가 등의 부작용이 나타날 수 있습니다.  피임약을 복용해도 생리불순이 개선되지 않는다면 병원에서 진료를 받아 원인을 찾아 치료해야 합니다. 생리불순의 원인이 질환일 경우 해당 질환을 치료하면 생리불순이 개선될 수 있습니다.  생리불순은 여성의 건강에 영향을 미칠 수 있으므로 증상이 심하거나 오래 지속된다면 병원에서 진료를 받아야 합니다.
식사량을 엄청 줄였는데 살이 안빠져요,안녕하세요. 메디이즈입니다.  식사조절 및 운동으로도 체중감소가 없는 경우 필요하다만 약물치료가 도움이 될 수 있습니다. 가까운 비만 클리닉을 방문해 보세요
어느과 진찰을 받아야할지 모르겠습니다.,안녕하세요. 메디이즈입니다. 갑자기 생긴 증상이라고 하면 가정의학과 진료 받아보셔도 괜찮을 것으로 생각됩니다. 최근 많이 무리하거나 스트레스가 많았을까요? 잠은 잘 자나요? 운동은 규칙적으로 하시나요?
기침과 목 이물감,안녕하세요. 메디이즈입니다. 많이 답답하시겠네요. 이런경우 스테로이드 흡입제를 사용하면서 경과를 지켜보시면 어떨까 싶습니다. 그러면 증상이 좋아질것 같습니다
안녕하세요 선생님,안녕하세요. 메디이즈입니다. 제가 보기에는 청각이상으로 시행한 뇌 ct 사진에서 우연하게 발견된 병변으로 생각됩니다. 서로 연관은 없어 보입니다
23개월 여아점,안녕하세요. 메디이즈입니다. 지금 보이는 점은 밀크 반점으로 생각되지는 않습니다. 너무 걱정하지 말고 경과를 지켜보시면서 점이 변화가 있는지 사진찍어두셔요
임팯트 비타민 약 질문드려요,안녕하세요. 메디이즈입니다. 일주일은 장기복용으로 생각하기는 어렵습니다. 아주 단기 초단기 처방입니다. 몸이 더 나빠지지는 않을 것으로 생각됩니다
고3 여학생 어지러움증 추가 문의 올립니다.,안녕하세요. 메디이즈입니다. 지금은 이상이 있는지 없는지를 자세한 진찰과 검사를 통해서 확인하는 것이 필요합니다. 더이상의 추측은 의미가 없어보입니다
발이 오목발 아치형입니다. 이런 발유형은 아무래도 서서하는 일도 임신 힘들겠죠?,안녕하세요. 메디이즈입니다.  답변이 늦어 죄송합니다. 진료중이라 이해 부탁드려요.  발 안쪽이 오목하게 되어있는 것은 정상입니다. 그래야 체중이 분산이 되기때문에 발이 덜 피곤합니다.  발 안쪽이 오목하지 않은 평발이 조금만 걸어도 쉽게 발이 피로해집니다.  오목한 정상이므로 너무 크게 걱정안하셔도 될것 같습니다. 발이 아프고 불편하면 편한 운동화를 신거나  하이힐이나 바닥이 딱딱한 것만 피하고 신발에 신경을 쓰시면 좋을것 같습니다.
아픈이유,안녕하세요. 메디이즈입니다. 평소 사용하지 않던 다리를 무리하게 갑자기 사용했다고 하면 그것이 통증의 원인이 될 수 있을것으로 판단됩니다.
가게 유리철거하는곳 근처지나가면 유리조각이나 가루가 두피로 튀어서 두피염이나 탈모가생길수있나요?,안녕하세요. 메디이즈입니다. 유리 파편이 두피에 닿으면 물리적인 손상이나 염증을 일으킬 수 있습니다. 탈모나 두피염으로 진행될 가능성은 낮지만 상처가 나거나 염증이 생길 수 있습니다. 두피에 이상이 느껴지거나 상처가 있다면 피부과를 방문해 확인받아보시면 되겠습니다.
입술포진?,안녕하세요. 메디이즈입니다.  소위 말하는 헤르페스 감염단순포진 맞습니다. HSV1 바이러스에 의한 질환이고 보통 구강대 구강으로 전염이 많이 이루어 집니다. 성관계에 의한 감염은 생식기 감염을 많이 일으키는 HSV2형이 해당됩니다. 보통 치료는 아시클로비어 연고 등약국에서 구매 가능으로 치료 될 수 도 있으며 확실히 치료하고 싶거나 빠른 경과 호전을 위해서는 병원에서 약 처방을 받으면 됩니다. 피곤하거나 스트레스를 많거나 감기 등 면역력이 저하될 때 재발성으로 증상이 많이 발현 됩니다.
저 성대결절 인가요???,안녕하세요. 메디이즈입니다. 1. 성대결절이 의심되면 검사로 확인이 필요합니다 2. 목소리를 최대한 사용하지 않으면서 경과를 지켜보실 수 있습니다 3. 악성으로 변하지 않습니다
오른쪽 윗가슴 통증과 증상 질문드립니다.,안녕하세요. 메디이즈입니다. 증상만으로는 알기 어렵지만 검사에서 이상이 없었다고 하면 특히 우측 가슴통증이라고 하시니 근육통의 가능성을 생각해볼 수 있습니다
고중량 저반복을 하면 키가 안크나요?,안녕하세요. 메디이즈입니다.  키는 유전적인 부분이 가장 큰 부분을 차지 합니다. 하지만 성장기에는 과도한 무게보다는 전체적인 자극을 줄 수 있는 운동이나 밸런스 운동을 해주시는 것을 추천 드려요 
가슴이 두근거릴때 운동하면 안좋나요?,안녕하세요. 메디이즈입니다.  두근거림이 계속 된다면 명확한 이유를 찾아보시고 운동 하실 것을 추천 드립니다.  다양한 원인들이 있을 수 있기에 운동이 독이 될 수 있습니다.
경구용 미녹시딜 하루에 1정 복용 괜찮나요?,안녕하세요. 메디이즈입니다.  부작용이 없다면 1정까지는 괜찮습니다. 다만 고혈압약과 같이 복용시 혈압저하 효과가 더 있을 수 있으며 간혹 단독으로 복용시에도 국소 부종눈주위 부종 두통 등이 있을 수 있습니다. 여성인 경우에는 14정 복용이 권장됩니다.
손가락 봉합 후 행동,안녕하세요. 메디이즈입니다. 커피는 마셔도 됩니다. 손가락 방향은 정해진 것은 없고 편안한 방향으로 하시되 심장보다 높게 올리면 욱신거림이 덜 할수 있습니다
피부암인가요?,안녕하세요. 메디이즈입니다.  피부암의 경우는 대부분 크기의 변화가 있는경우가 대부분이고 환자분 병변은 가피로 보여집니다. 일단은 경과를 보시고 지속시 피부과에서 확인해 보시기 바랍니다.
뇌에 문제가 있다고 합니다.,안녕하세요. 메디이즈입니다. 난청에는 스테로이드 사용이 가장 표본적인 기본 치료입니다. CT 상의 이상소견은 별개의 문제라는 의미이며 난청과 눈의 침침함은 서로 관련성이 있습니다. 신경과 치료를 병행하심도 좋습니다.
암걸리면 몸이 피로해지나요?,안녕하세요. 메디이즈입니다. 암에 걸리면 몸이 피로해질 수 있습니다.  암세포가 성장하고 증식하면서 우리 몸의 에너지를 소모하고 영양 공급을 방해하기 때문입니다. 또 암 치료 과정에서 항암화학요법 방사선 치료 등으로 인해 염증성 시토카인이 분비되고 근육의 대사 변화가 발생합니다. 이러한 과정은 피로감을 가중시킵니다.
뇌 CT 궁금합니다,안녕하세요. 메디이즈입니다. 청력과는 관련이 없는 부위입니다. 크기가 크지 않고 위치는 신경학적으로 중요한 신경경로와는 관련이 적겠습니다. 미리 걱정하실 필요 없이 좋은 결과가 나오길 바랍니다.
이거 헤르페스인가요?,안녕하세요. 메디이즈입니다. 병변이 뚜렷한 수포의 형태를 보이지는 않아서 아직 판단하기 이른 것 같습니다. 경과를 지켜보시고 병변이 더 많아진다거나 불편한 증상이 심해지면 비뇨의학과를 방문하시기 바랍니다.
고3 딸아이 어지러움증 관련 걱정이 되어 질문드립니다,안녕하세요. 메디이즈입니다. 걱정많으시겠네요. 몸이 흔들리면서 중심을 잡지 못한다고 하면 말씀드리기 조심스럽지만 소뇌기능을 체크해보시는 것이 필요해 보입니다
당뇨가 아닙니다,안녕하세요. 메디이즈입니다.  당뇨 검사는 피검사로 진단을 합니다. 당뇨가 없으시다면 식생활 습관이 그러신 건데 가능하면 교정하시는게 좋겠습니다.
손날로 손가락 끝으로 손찌르기 하다 벽 찔렀는데,안녕하세요. 메디이즈입니다. 손가락 부상을 입었군요 엑스레이는 필요치 않을 가능성이 많겠습니다. 근육 끝부분 힘줄의 손상이 있을 것으로 생각되며 보호대를 쓰는게 편할 수 있으며 소염제는 기본적으로 복용합니다.
아픈이유,안녕하세요. 메디이즈입니다. 평소 사용하지 않던 다리를 무리하게 갑자기 사용했다고 하면 그것이 통증의 원인이 될 수 있을것으로 판단됩니다.
뇌 ct좀 봐주세요..,안녕하세요. 메디이즈입니다. 크기가 크지 않고 위치는 신경학적으로 중요한 신경경로와는 관련이 적겠습니다. 미리 걱정하실 필요 없이 좋은 결과가 나오길 바랍니다.
23개월 여아 점,안녕하세요. 메디이즈입니다. 사진상 단순 모반 가능성이 높아 보입니다. 하지만 이전에 비해 크기가 증가하고 모양의 변화가 있다면 병원 내원하여 진료를 보시는 것을 권합니다. 신경섬유종은 유전성 질환으로 가능성이 매우 낮습니다. 답변이 도움이 되었기를 바랍니다.
23개월 여아점,안녕하세요. 메디이즈입니다. 지금 보이는 점은 밀크 반점으로 생각되지는 않습니다. 너무 걱정하지 말고 경과를 지켜보시면서 점이 변화가 있는지 사진찍어두셔요
23개월 여아,안녕하세요. 메디이즈입니다.  신경섬유종증은 사춘기 전에는 0.5cm 이상의 크기로 6개 이상 될때 고려하게 됩니다. 그리고 많은 진단 항목중 한 요소에 불과합니다. 다양한 판단이 중요하며 신경섬유종 주근깨 골이상 눈이상 등 다양한 검사 이후 진단하게 됩니다. 물론 최종 진단은 유전자 검사가 필요합니다. 다른 동반되는 소견 없이 사진과 같은 반점만 있을 경우에는 조금은 지켜보셔도 되지 않을까 생각됩니다.
당뇨가 아닙니다,안녕하세요. 메디이즈입니다.  당뇨 검사는 피검사로 진단을 합니다. 당뇨가 없으시다면 식생활 습관이 그러신 건데 가능하면 교정하시는게 좋겠습니다.
건강기능식품,안녕하세요. 메디이즈입니다. 현재 복용 중인 약물과 영양제 사이에 상호작용은 없을 것으로 보입니다.  L카르니틴은 체내에서 지방을 에너지로 바꾸는 데 도움을 주는 물질로 심장 기능을 향상시키는 효과가 있습니다.  코엔자임Q10은 세포의 에너지 생산에 필요한 물질로 심장 기능을 향상시키는 효과가 있습니다.  얼브 원스일리 멀티비타민은 비타민과 미네랄이 함유된 영양제로 심장 기능을 향상시키는 효과가 있습니다.  오메가3는 불포화지방산으로 심장 기능을 향상시키는 효과가 있습니다.  따라서 현재 복용 중인 약물과 영양제 사이에 상호작용은 없을 것으로 보입니다.  다만 약물과 영양제를 함께 복용할 때는 의사와 상담하는 것이 좋습니다.
성인 adhd,안녕하세요. 메디이즈입니다. 성인 ADHD는 완치보다는 관리가 목표입니다. 일반적으로 약물치료와 행동치료를 통해 증상을 효과적으로 통제할 수 있습니다. 생활습관 개선과 심리치료도 중요한 역할을 합니다. 그러니 지속적인 관리와 치료를 이어가시길 권해드립니다.
오른쪽 윗가슴 통증과 증상 질문드립니다.,안녕하세요. 메디이즈입니다. 증상만으로는 알기 어렵지만 검사에서 이상이 없었다고 하면 특히 우측 가슴통증이라고 하시니 근육통의 가능성을 생각해볼 수 있습니다
고3 여학생 어지러움증 추가 문의 올립니다.,안녕하세요. 메디이즈입니다. 지금은 이상이 있는지 없는지를 자세한 진찰과 검사를 통해서 확인하는 것이 필요합니다. 더이상의 추측은 의미가 없어보입니다
20대 중반 맥압이 걱정됩니다,안녕하세요. 메디이즈입니다.  맥압의 차이는 있으나 실신과 같은 증상이 따로 없다면 일단은 경과를 지켜 보셔도 될꺼 같습니다. 정기적인 혈압을 체크해 보시기 바랍니다.
대변색이,안녕하세요. 메디이즈입니다.  먹는거에 영향을 받을 수도 있습니다. 최근 먹는 영양제 혹은 음식 검토해 보세요. 장에서 이동속도가 빨라져 담즙성분이 미쳐 다 소화되지 못했을때 녹색변을 보일 수 있습니다. 장염이나 설사시에도 나타날 수 있습니다.
설사나 그런거는 없습니다,안녕하세요. 메디이즈입니다.  위염 등 위장장애가 있을 경우 소화에 영향을 미칠 수는 있습니다. 위장에서 필요한 산성화 작업 포함 소화작업이 잘안되어 상복부 불편감 구역감 속쓰림 심하면 역류성 식도염까지 발생할 수는 있습니다. 녹색변 하고 위장 장애하고는 큰 영향은 아니고 약간은 영향을 미칠 수는 있겠지만 주요 원인은 아닐 거라고 생각됩니다. 주로 담즙은 소장 대장을 거치면서 황토색으로 변하기 때문입니다.
설사나 그런거는 없습니다,안녕하세요. 메디이즈입니다.  위염 등 위장장애가 있을 경우 소화에 영향을 미칠 수는 있습니다. 위장에서 필요한 산성화 작업 포함 소화작업이 잘안되어 상복부 불편감 구역감 속쓰림 심하면 역류성 식도염까지 발생할 수는 있습니다. 녹색변 하고 위장 장애하고는 큰 영향은 아니고 약간은 영향을 미칠 수는 있겠지만 주요 원인은 아닐 거라고 생각됩니다. 주로 담즙은 소장 대장을 거치면서 황토색으로 변하기 때문입니다.
아침 객혈,안녕하세요. 메디이즈입니다.  객혈이 있는 경우에는 결핵 기관지확장증 폐암을 감별해야 합니다. 심한 급성 기관지염에서도 객혈이 있을 수 있으나 원인을 감별해야 합니다
잠드려 하면 불특정하게 움찔거려 깹니다,안녕하세요. 메디이즈입니다.  대부분의 수면장애는 깊은 수면에 들지 않는 경우가 많습니다. 카페인등 수면에 방해를 주는 음식을 주의하시고 가벼운 운동을 해보세요
검은변에 과산화수소를 뿌렸더니 거품이 생겼습니다 혈변인가요,안녕하세요. 메디이즈입니다. 흑변을 조심해야 하는 이유는 상부 위장관에서의 출혈을 의심할 수 있기 때문입니다. 흑변에 과산화수소를 뿌렸을 때 거품반응이 보인다는 것은 혈액이 존재함을 시사합니다. 따라서 병원을 방문하셔야 하는 소견이라 볼 수 있으니 곧바로 근처 내과를 방문하셔야 합니다.
담석증 통마토 문의드립니다.,안녕하세요. 메디이즈입니다. 담석증이 있을 경우 토마토를 복용한다고 해서 담석에 영향을 미치지는 않습니다. 따라서 걱정하지 말고 섭취해도 되겠습니다.
임신준비 중 방광염약 네프신 복용,안녕하세요. 메디이즈입니다. 아직 임신이 이루어지지 않았다면 크게 문제가 되지 않습니다. 따라서 사후 피임약을 복용하는 것이 큰 도음은 되지 않습니다.
자세나 입은 옷에 따라 고환의 통증이 유발될 수 있나요?,안녕하세요. 메디이즈입니다. 오른쪽 고환의 통증이 반복적으로 나타난다면 몇 가지 가능성을 고려해볼 수 있습니다. 이는 고환염 부고환염 정계정맥류 탈장 등과 같은 문제일 수 있습니다. 특히 통증이 오래 지속되거나 심해진다면 반드시 비뇨의학과를 방문해 진료받아보시는 것이 안전합니다.
임신준비 중 방광염약 네프신 복용,안녕하세요. 메디이즈입니다. 아직 임신이 이루어지지 않았다면 크게 문제가 되지 않습니다. 따라서 사후 피임약을 복용하는 것이 큰 도음은 되지 않습니다.
기침과 목 이물감,안녕하세요. 메디이즈입니다. 많이 답답하시겠네요. 이런경우 스테로이드 흡입제를 사용하면서 경과를 지켜보시면 어떨까 싶습니다. 그러면 증상이 좋아질것 같습니다
이것도 알레르기인가요?,안녕하세요. 메디이즈입니다. 상기 음식을 다 먹고 나서 증상이 있다면 알러지 보다는 메밀 성분 자체에 의한 반응 가능성이 높습니다. 답변이 도움이 되었기를 바랍니다.
감기몸살일까요?,안녕하세요. 메디이즈입니다.  피검사로 염증의 유무를 확인해 보시는게 좋겠습니다. 특별히 염증이 아니라면 증상완화제를 복용하면서 경과를 지켜 보시기 바랍니다.
기침과 목 이물감,안녕하세요. 메디이즈입니다. 많이 답답하시겠네요. 이런경우 스테로이드 흡입제를 사용하면서 경과를 지켜보시면 어떨까 싶습니다. 그러면 증상이 좋아질것 같습니다
어지럼증인데 딱 맞아떨어지는 원인을 못찾겠습니다,안녕하세요. 메디이즈입니다.  어지러움의 원인은 말초성과 중추성으로 나누어 볼 수 있습니다. 이비인후과나 신경과를 방문하셔서 진단을 해 보시는걸 추천 드립니다.
아침 객혈,안녕하세요. 메디이즈입니다.  객혈이 있는 경우에는 결핵 기관지확장증 폐암을 감별해야 합니다. 심한 급성 기관지염에서도 객혈이 있을 수 있으나 원인을 감별해야 합니다
뇌 CT 궁금합니다,안녕하세요. 메디이즈입니다. 청력과는 관련이 없는 부위입니다. 크기가 크지 않고 위치는 신경학적으로 중요한 신경경로와는 관련이 적겠습니다. 미리 걱정하실 필요 없이 좋은 결과가 나오길 바랍니다.
안녕하세요 선생님,안녕하세요. 메디이즈입니다. 제가 보기에는 청각이상으로 시행한 뇌 ct 사진에서 우연하게 발견된 병변으로 생각됩니다. 서로 연관은 없어 보입니다
